Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39.0,No,Travel_Rarely,1383.0,,2.0,3.0,,1.0,909.0,4.0,Female,42.0,2.0,,Human Resources,,Married,5204.0,7790.0,8.0,Y,,11.0,3.0,3.0,80.0,2.0,13.0,,3.0,5.0,,0.0,4.0
29.0,No,Travel_Rarely,726.0,Research & Development,29.0,1.0,Life Sciences,1.0,1859.0,4.0,,,1.0,2.0,Healthcare Representative,,Divorced,6384.0,21143.0,,Y,No,17.0,,4.0,80.0,2.0,11.0,3.0,3.0,7.0,,,6.0
32.0,No,Travel_Rarely,,,8.0,2.0,Technical Degree,1.0,436.0,3.0,Female,65.0,,2.0,Sales Executive,,,,24624.0,1.0,Y,Yes,11.0,3.0,4.0,,0.0,13.0,2.0,3.0,13.0,12.0,11.0,
yes,,Travel_Rarely,1198.0,Research & Development,,,,,,3.0,Male,,2.0,1.0,Research Scientist,1.0,Single,2799.0,3339.0,,Y,Yes,,3.0,2.0,80.0,0.0,6.0,,3.0,3.0,2.0,0.0,
,,Travel_Rarely,866.0,Sales,5.0,3.0,Medical,1.0,1469.0,4.0,Male,84.0,3.0,2.0,Sales Executive,1.0,Single,8463.0,23490.0,0.0,,No,18.0,3.0,,80.0,0.0,6.0,4.0,3.0,5.0,4.0,1.0,3.0
,No,Travel_Frequently,967.0,Sales,8.0,,Marketing,1.0,207.0,2.0,Female,,3.0,3.0,Sales Executive,4.0,Single,8998.0,15589.0,1.0,Y,No,,3.0,4.0,80.0,0.0,9.0,2.0,3.0,,8.0,3.0,7.0
34.0,No,Non-Travel,697.0,Research & Development,3.0,4.0,Life Sciences,1.0,1115.0,,Male,,,1.0,Research Scientist,4.0,Married,2979.0,22478.0,3.0,Y,No,17.0,3.0,4.0,80.0,3.0,,2.0,3.0,0.0,0.0,,0.0
51.0,No,Travel_Rarely,1469.0,Research & Development,8.0,4.0,Life Sciences,,296.0,2.0,Male,81.0,2.0,3.0,,2.0,Married,12490.0,15736.0,5.0,Y,No,16.0,3.0,4.0,80.0,2.0,16.0,5.0,,10.0,9.0,,7.0
49.0,,,,Research & Development,20.0,,,,,,Female,96.0,,2.0,Manufacturing Director,1.0,Married,6567.0,5549.0,1.0,,No,,3.0,3.0,80.0,0.0,,,2.0,15.0,,5.0,11.0
yes,No,Travel_Rarely,674.0,,13.0,,Medical,1.0,1543.0,1.0,Male,47.0,,2.0,Research Scientist,4.0,Married,4285.0,3031.0,1.0,,No,17.0,3.0,1.0,,0.0,,2.0,3.0,10.0,8.0,3.0,7.0
22.0,,,,,7.0,1.0,Life Sciences,1.0,,4.0,,,3.0,1.0,Research Scientist,2.0,Single,2472.0,26092.0,1.0,Y,Yes,23.0,4.0,1.0,80.0,0.0,1.0,,3.0,1.0,0.0,0.0,0.0
37.0,No,Travel_Frequently,663.0,,11.0,3.0,Other,1.0,306.0,2.0,Male,47.0,3.0,3.0,Research Director,4.0,Divorced,12185.0,10056.0,1.0,,,14.0,3.0,3.0,,3.0,10.0,1.0,3.0,10.0,8.0,0.0,
yes,No,Travel_Rarely,408.0,Research & Development,2.0,4.0,Technical Degree,1.0,721.0,4.0,Female,80.0,2.0,2.0,Healthcare Representative,,,4553.0,,1.0,Y,No,,3.0,1.0,,0.0,20.0,4.0,,20.0,7.0,11.0,10.0
Yes ,No,Travel_Rarely,124.0,Research & Development,3.0,3.0,Other,1.0,1062.0,,,35.0,3.0,,Healthcare Representative,2.0,Single,4107.0,,3.0,Y,,15.0,3.0,1.0,80.0,0.0,,3.0,2.0,4.0,3.0,0.0,
,,Travel_Rarely,1124.0,,1.0,2.0,Medical,,453.0,,Male,57.0,1.0,2.0,Sales Executive,4.0,Married,,13273.0,,Y,Yes,22.0,4.0,3.0,80.0,3.0,6.0,2.0,2.0,4.0,3.0,0.0,
2400.0,,Travel_Rarely,59920.0,Research & Development,1160.0,3.0,,1.0,1604.0,3.0,Male,51.0,3.0,1.0,Laboratory Technician,,Married,,7324.0,1.0,Y,Yes,17.0,3.0,3.0,80.0,3.0,1.0,,3.0,1.0,,0.0,0.0
,No,,1200.0,Research & Development,1.0,,,1.0,1574.0,4.0,Male,,3.0,2.0,Research Scientist,1.0,Married,4087.0,,4.0,Y,No,14.0,3.0,,80.0,1.0,9.0,3.0,2.0,6.0,,1.0,2.0
24.0USD,No,Travel_Frequently,567.0USD,Research & Development,2.0USD,,,1.0,1646.0,1.0,,32.0,3.0,1.0,Research Scientist,4.0,Single,,17218.0,1.0,Y,Yes,13.0,3.0,,80.0,,,2.0,3.0,6.0,3.0,1.0,3.0
29.0USD,No,Travel_Rarely,153.0USD,Research & Development,15.0USD,2.0,Life Sciences,1.0,15.0,4.0,,49.0,,2.0,,3.0,,4193.0,12682.0,,Y,,12.0,,4.0,80.0,0.0,10.0,3.0,3.0,,5.0,0.0,8.0
56.0,No,Travel_Rarely,,Research & Development,7.0,3.0,Life Sciences,1.0,112.0,4.0,,49.0,1.0,3.0,,4.0,Single,7260.0,21698.0,,Y,No,11.0,,1.0,80.0,,37.0,3.0,2.0,,4.0,0.0,2.0
yes,No,Travel_Frequently,443.0,Research & Development,8.0,1.0,Life Sciences,1.0,602.0,3.0,Female,48.0,3.0,1.0,Laboratory Technician,,Married,,17872.0,1.0,Y,No,11.0,3.0,1.0,80.0,1.0,8.0,3.0,3.0,8.0,3.0,0.0,7.0
Yes ,No,Travel_Frequently,1404.0,,,3.0,Technical Degree,1.0,974.0,3.0,Female,84.0,3.0,1.0,Sales Representative,4.0,Married,2157.0,18203.0,1.0,,No,,3.0,2.0,80.0,1.0,3.0,,3.0,,1.0,0.0,2.0
,No,Travel_Rarely,1384.0,,3.0,4.0,,1.0,1177.0,1.0,Male,82.0,,1.0,Laboratory Technician,4.0,Married,4420.0,13421.0,1.0,Y,No,22.0,4.0,2.0,80.0,1.0,,2.0,3.0,,7.0,0.0,7.0
39.0,No,Non-Travel,439.0,Research & Development,9.0,3.0,Life Sciences,1.0,,3.0,Male,70.0,3.0,2.0,Laboratory Technician,2.0,,,8770.0,9.0,,,15.0,3.0,3.0,80.0,0.0,9.0,2.0,2.0,5.0,4.0,0.0,3.0
23.0,No,Travel_Rarely,885.0,Research & Development,4.0,,Medical,,,1.0,Male,58.0,,1.0,Research Scientist,1.0,Married,2819.0,8544.0,2.0,Y,No,16.0,3.0,,80.0,1.0,,3.0,4.0,3.0,2.0,0.0,
,No,Travel_Rarely,603.0,Research & Development,7.0,4.0,Medical,1.0,1292.0,,Female,78.0,4.0,2.0,Research Scientist,,,2372.0,5628.0,,Y,Yes,,,4.0,80.0,0.0,18.0,2.0,3.0,1.0,0.0,0.0,0.0
37.0,No,Travel_Frequently,1278.0,,1.0,4.0,Medical,1.0,,3.0,Male,31.0,1.0,2.0,Sales Executive,4.0,Divorced,9525.0,,1.0,Y,No,14.0,3.0,3.0,80.0,2.0,,2.0,2.0,6.0,,1.0,3.0
yes,No,Travel_Rarely,194.0,Research & Development,9.0,3.0,Life Sciences,,206.0,2.0,,60.0,3.0,2.0,Laboratory Technician,2.0,Divorced,,10901.0,,Y,No,18.0,3.0,3.0,80.0,1.0,20.0,2.0,1.0,17.0,9.0,0.0,
yes,No,Travel_Rarely,268.0,Research & Development,2.0,,,1.0,773.0,4.0,Male,92.0,3.0,1.0,Research Scientist,3.0,,3057.0,20471.0,6.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,6.0,0.0,1.0,,0.0,,1.0
,No,Travel_Frequently,1186.0,Research & Development,3.0,,Other,1.0,,3.0,Male,44.0,3.0,,Research Scientist,3.0,,,2997.0,3.0,Y,No,16.0,3.0,1.0,80.0,1.0,8.0,2.0,3.0,2.0,,2.0,2.0
35.0,No,Travel_Frequently,482.0,Research & Development,,4.0,,1.0,1350.0,3.0,Male,87.0,3.0,2.0,,3.0,Single,,2690.0,1.0,Y,Yes,11.0,3.0,2.0,80.0,0.0,9.0,3.0,3.0,9.0,6.0,1.0,1.0
38.0,No,Travel_Rarely,723.0,Sales,2.0,4.0,,,1835.0,2.0,Female,77.0,,2.0,Sales Representative,4.0,Married,5405.0,4244.0,2.0,Y,,20.0,4.0,1.0,,2.0,,4.0,2.0,4.0,2.0,0.0,3.0
33.0,No,Travel_Rarely,1216.0,Sales,,4.0,Marketing,1.0,677.0,3.0,Male,39.0,3.0,2.0,Sales Executive,3.0,Divorced,7104.0,,0.0,Y,,12.0,3.0,4.0,80.0,0.0,6.0,3.0,3.0,5.0,0.0,1.0,2.0
44.0,No,,111.0,,17.0,,Life Sciences,1.0,,4.0,,74.0,1.0,1.0,Research Scientist,,,,4279.0,2.0,Y,No,13.0,3.0,4.0,80.0,0.0,,,3.0,0.0,0.0,0.0,0.0
,No,Non-Travel,981.0,Research & Development,5.0,3.0,Life Sciences,1.0,,3.0,Male,90.0,2.0,1.0,Laboratory Technician,3.0,Single,3162.0,7973.0,,,No,,,4.0,,0.0,7.0,5.0,3.0,5.0,2.0,0.0,3.0
Yes ,Yes,Travel_Rarely,1204.0,,4.0,3.0,Technical Degree,1.0,1100.0,,,86.0,3.0,3.0,Sales Executive,,Single,9582.0,10333.0,0.0,,Yes,22.0,4.0,1.0,80.0,0.0,9.0,,3.0,8.0,,4.0,7.0
Yes ,,,238.0,Sales,1.0,,Medical,1.0,682.0,4.0,Female,34.0,3.0,2.0,Sales Executive,1.0,Single,8381.0,7507.0,,Y,No,20.0,4.0,4.0,80.0,0.0,18.0,2.0,4.0,14.0,7.0,8.0,10.0
32.0USD,No,Travel_Frequently,116.0USD,Research & Development,nanUSD,3.0,,1.0,1234.0,3.0,Female,,2.0,1.0,,2.0,Married,2743.0,7331.0,1.0,Y,No,20.0,4.0,,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,
yes,No,,658.0,Sales,,4.0,Marketing,1.0,954.0,1.0,Male,67.0,2.0,3.0,Sales Executive,2.0,Divorced,9705.0,20652.0,2.0,Y,No,12.0,3.0,2.0,80.0,1.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0
27.0,,Travel_Rarely,,Research & Development,,3.0,Medical,1.0,764.0,,Female,55.0,,2.0,Healthcare Representative,1.0,Single,6811.0,,8.0,,,19.0,3.0,1.0,80.0,0.0,9.0,2.0,1.0,7.0,6.0,0.0,7.0
30.0,Yes,Travel_Frequently,109.0,Research & Development,5.0,,Medical,1.0,1017.0,2.0,,60.0,3.0,1.0,Laboratory Technician,2.0,,2422.0,25725.0,,Y,No,17.0,3.0,1.0,,0.0,4.0,,,3.0,2.0,,2.0
26.0,No,Travel_Rarely,841.0,Research & Development,6.0,3.0,Other,1.0,,,Female,46.0,2.0,1.0,Research Scientist,2.0,Married,2368.0,,1.0,Y,No,19.0,3.0,3.0,80.0,0.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0
38.0,No,,1495.0,Research & Development,10.0,3.0,Medical,1.0,634.0,,Female,76.0,,2.0,Healthcare Representative,3.0,Married,9824.0,22174.0,3.0,Y,,19.0,3.0,3.0,80.0,1.0,18.0,4.0,3.0,,0.0,0.0,0.0
37.0,No,Travel_Frequently,319.0,,4.0,4.0,Marketing,1.0,311.0,1.0,Male,41.0,,1.0,Sales Representative,4.0,Divorced,2793.0,2539.0,4.0,Y,No,17.0,3.0,3.0,80.0,1.0,13.0,,3.0,,8.0,5.0,
28.0,No,Travel_Rarely,304.0,Sales,,4.0,Life Sciences,1.0,498.0,2.0,Male,92.0,3.0,2.0,Sales Executive,4.0,Single,5253.0,20750.0,,Y,No,16.0,3.0,4.0,80.0,0.0,7.0,,3.0,7.0,5.0,0.0,7.0
53.0,No,Travel_Rarely,1219.0,Sales,,4.0,Life Sciences,1.0,23.0,1.0,Female,78.0,2.0,,,4.0,Married,15427.0,22021.0,,Y,No,16.0,3.0,3.0,80.0,0.0,31.0,3.0,,25.0,8.0,3.0,7.0
55.0USD,No,,444.0USD,Research & Development,2.0USD,,Medical,1.0,1074.0,3.0,Male,,2.0,4.0,,1.0,Single,16756.0,17323.0,7.0,,No,15.0,3.0,2.0,80.0,0.0,31.0,3.0,,9.0,7.0,,2.0
22.0,No,Travel_Rarely,1230.0,Research & Development,1.0,2.0,,1.0,,4.0,Male,33.0,2.0,2.0,Manufacturing Director,4.0,Married,4775.0,19146.0,6.0,Y,No,22.0,,1.0,80.0,2.0,4.0,2.0,1.0,2.0,2.0,,2.0
44.0USD,Yes,Travel_Frequently,920.0USD,Research & Development,24.0USD,3.0,Life Sciences,1.0,,,Male,43.0,,1.0,,3.0,Divorced,3161.0,19920.0,3.0,,Yes,,4.0,4.0,,1.0,19.0,0.0,1.0,1.0,,0.0,0.0
yes,,Travel_Rarely,,Research & Development,,3.0,Medical,,,2.0,Female,86.0,4.0,1.0,Research Scientist,3.0,Married,3517.0,22490.0,7.0,,No,17.0,,1.0,80.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,2.0
,No,Travel_Rarely,119.0,Sales,15.0,,Marketing,,,2.0,Male,,,,Sales Executive,1.0,Single,13341.0,25098.0,0.0,Y,No,12.0,3.0,,80.0,0.0,21.0,3.0,3.0,20.0,8.0,,
27.0,No,Travel_Rarely,1167.0,Research & Development,4.0,2.0,,1.0,1259.0,1.0,Male,76.0,3.0,1.0,Research Scientist,3.0,Divorced,2517.0,3208.0,1.0,Y,No,11.0,3.0,2.0,80.0,3.0,,2.0,3.0,5.0,3.0,0.0,
,No,Travel_Rarely,1329.0,Research & Development,7.0,3.0,Life Sciences,1.0,1260.0,3.0,,,3.0,,Healthcare Representative,4.0,Divorced,6623.0,4204.0,1.0,Y,Yes,11.0,3.0,2.0,80.0,2.0,6.0,2.0,,6.0,0.0,1.0,
yes,No,Travel_Rarely,949.0USD,Research & Development,nanUSD,3.0,Technical Degree,1.0,1415.0,1.0,Male,,3.0,1.0,Laboratory Technician,4.0,Married,3229.0,,4.0,Y,No,11.0,3.0,2.0,80.0,,7.0,2.0,2.0,3.0,,,2.0
,No,Non-Travel,981.0,Research & Development,5.0,3.0,Life Sciences,1.0,,3.0,Male,90.0,2.0,1.0,Laboratory Technician,3.0,Single,3162.0,7973.0,,,No,,,4.0,,0.0,7.0,5.0,3.0,5.0,2.0,0.0,3.0
29.0,No,Travel_Rarely,1086.0,Research & Development,7.0,1.0,Medical,1.0,912.0,1.0,Female,62.0,2.0,1.0,Laboratory Technician,4.0,,2532.0,6054.0,,Y,No,,3.0,3.0,80.0,,8.0,5.0,3.0,4.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,No,Travel_Frequently,672.0,Research & Development,7.0,2.0,Medical,1.0,444.0,3.0,,54.0,,,Manager,4.0,Married,19272.0,21141.0,1.0,Y,No,15.0,3.0,,80.0,1.0,21.0,2.0,3.0,21.0,9.0,13.0,3.0
35.0,No,Travel_Rarely,1349.0,Research & Development,7.0,2.0,,1.0,1601.0,3.0,Male,63.0,2.0,1.0,Laboratory Technician,,Married,2690.0,7713.0,1.0,Y,,18.0,3.0,4.0,80.0,1.0,,,,1.0,,0.0,
28.0,,Travel_Frequently,1496.0,Sales,1.0,3.0,Technical Degree,1.0,1486.0,1.0,Male,,3.0,1.0,Sales Representative,3.0,Married,2909.0,15747.0,3.0,Y,No,15.0,3.0,4.0,80.0,1.0,5.0,3.0,,3.0,2.0,1.0,2.0
29.0,Yes,Travel_Rarely,906.0,Research & Development,,3.0,,1.0,,4.0,Female,92.0,2.0,,,1.0,Single,2404.0,,6.0,,,,4.0,3.0,80.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0
33.0,,Travel_Rarely,461.0,,13.0,1.0,Life Sciences,1.0,995.0,,Female,53.0,3.0,1.0,Research Scientist,4.0,Single,3452.0,17241.0,3.0,Y,No,18.0,3.0,1.0,80.0,0.0,,4.0,3.0,3.0,2.0,0.0,2.0
29.0,No,,490.0,Research & Development,10.0,3.0,Life Sciences,1.0,1143.0,4.0,Female,61.0,3.0,1.0,Research Scientist,2.0,Divorced,3291.0,17940.0,,Y,No,14.0,3.0,4.0,80.0,2.0,8.0,2.0,,7.0,5.0,1.0,1.0
Yes ,Yes,Travel_Rarely,740.0,Sales,1.0,3.0,Life Sciences,,1562.0,,Male,64.0,2.0,2.0,Sales Executive,,,9714.0,5323.0,,,No,11.0,3.0,4.0,80.0,1.0,10.0,4.0,3.0,10.0,8.0,6.0,7.0
27.0,No,,591.0,Research & Development,2.0,3.0,Medical,1.0,1648.0,,,87.0,,1.0,Research Scientist,4.0,Single,2580.0,6297.0,2.0,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,0.0,2.0,4.0,2.0,1.0,2.0
,Yes,Travel_Rarely,,Research & Development,17.0,4.0,,1.0,1405.0,,Female,51.0,3.0,1.0,Research Scientist,3.0,Single,,,1.0,Y,Yes,13.0,,4.0,80.0,0.0,,2.0,,8.0,2.0,7.0,
yes,No,Travel_Rarely,1082.0,Research & Development,9.0,4.0,Medical,1.0,,4.0,,43.0,3.0,1.0,Laboratory Technician,3.0,Married,,,9.0,Y,,17.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,5.0,,1.0,
Yes ,Yes,Travel_Rarely,303.0,Sales,27.0,3.0,Life Sciences,1.0,1797.0,3.0,,,3.0,2.0,,4.0,Single,,,1.0,Y,Yes,,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,7.0,7.0,7.0
36.0,,Travel_Rarely,1278.0,Human Resources,8.0,3.0,Life Sciences,1.0,878.0,1.0,Male,77.0,2.0,1.0,Human Resources,1.0,Married,2342.0,8635.0,0.0,,No,,4.0,3.0,80.0,0.0,,3.0,3.0,5.0,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,No,Travel_Frequently,,Research & Development,24.0,4.0,,1.0,772.0,1.0,,80.0,3.0,2.0,Laboratory Technician,,Married,5309.0,21146.0,1.0,Y,No,,3.0,4.0,80.0,2.0,10.0,2.0,3.0,10.0,8.0,,
28.0,No,Travel_Frequently,,Research & Development,,3.0,Life Sciences,1.0,1154.0,3.0,Male,39.0,2.0,1.0,,3.0,,2703.0,,,Y,Yes,14.0,3.0,4.0,80.0,,3.0,2.0,3.0,3.0,1.0,0.0,2.0
yes,No,Travel_Frequently,1368.0,,28.0,,Technical Degree,1.0,,4.0,Female,88.0,2.0,2.0,Healthcare Representative,,,4523.0,4386.0,0.0,Y,,11.0,3.0,4.0,,3.0,,,4.0,6.0,5.0,0.0,4.0
34.0USD,No,Travel_Rarely,nanUSD,Research & Development,nanUSD,2.0,Medical,1.0,18.0,2.0,Male,93.0,,1.0,Laboratory Technician,,Divorced,2661.0,8758.0,,Y,No,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0
42.0,No,Non-Travel,179.0,,2.0,,,1.0,1231.0,4.0,Male,79.0,4.0,2.0,Human Resources,1.0,Married,6272.0,12858.0,7.0,Y,No,16.0,3.0,1.0,,,10.0,3.0,4.0,4.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,No,Travel_Rarely,287.0USD,Research & Development,nanUSD,4.0,Life Sciences,1.0,2052.0,3.0,,,1.0,1.0,Research Scientist,4.0,Married,2977.0,8952.0,1.0,Y,No,12.0,,4.0,,,,,3.0,4.0,3.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No,,,,,2.0,Life Sciences,1.0,1453.0,1.0,Male,,3.0,3.0,,4.0,Divorced,10793.0,,1.0,Y,No,18.0,3.0,1.0,80.0,,13.0,5.0,,13.0,7.0,9.0,9.0
yes,No,,458.0,Research & Development,26.0,5.0,Medical,1.0,,,Female,,3.0,3.0,Research Director,1.0,Married,13191.0,23281.0,3.0,Y,,17.0,3.0,,,,20.0,6.0,3.0,1.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-Travel,,Research & Development,1.0,,Medical,1.0,1775.0,1.0,,,2.0,4.0,,3.0,,12965.0,22308.0,,Y,,20.0,,4.0,,3.0,27.0,,,3.0,2.0,0.0,2.0
yes,No,,1322.0,,2.0,4.0,,1.0,,3.0,Male,52.0,,1.0,,3.0,,,,2.0,Y,,14.0,3.0,4.0,80.0,,8.0,2.0,3.0,2.0,,2.0,2.0
yes,Yes,Travel_Rarely,410.0,Sales,28.0,3.0,Marketing,1.0,2055.0,4.0,Male,39.0,2.0,,,1.0,Divorced,10854.0,,4.0,Y,Yes,13.0,3.0,,80.0,1.0,20.0,3.0,3.0,3.0,2.0,2.0,0.0
Yes ,Yes,Travel_Frequently,1287.0,Research & Development,7.0,3.0,Life Sciences,1.0,647.0,1.0,Female,,3.0,,Laboratory Technician,3.0,Married,2886.0,14168.0,1.0,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,,3.0,6.0,3.0,1.0,2.0
55.0,,Travel_Frequently,135.0,Research & Development,18.0,4.0,Medical,,1034.0,3.0,,62.0,3.0,2.0,,,Married,6385.0,12992.0,3.0,,Yes,14.0,,4.0,80.0,2.0,17.0,3.0,,8.0,7.0,6.0,7.0
35.0,No,Travel_Rarely,1214.0,Research & Development,1.0,3.0,Medical,1.0,105.0,2.0,Male,30.0,2.0,,,3.0,,2859.0,26278.0,1.0,Y,No,18.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,6.0,,0.0,4.0
54.0,No,,584.0,Research & Development,,5.0,,1.0,1665.0,,Female,91.0,3.0,4.0,Manager,3.0,Married,17426.0,18685.0,3.0,Y,No,25.0,4.0,3.0,80.0,1.0,36.0,,3.0,10.0,8.0,4.0,7.0
36.0,No,Travel_Rarely,430.0,Research & Development,2.0,4.0,,1.0,1847.0,4.0,Female,73.0,3.0,2.0,,2.0,Married,6962.0,19573.0,4.0,,Yes,,4.0,4.0,80.0,1.0,15.0,2.0,,1.0,0.0,0.0,0.0
,No,Travel_Rarely,823.0,Research & Development,6.0,,,1.0,1866.0,1.0,Female,81.0,2.0,,Manager,3.0,Married,19392.0,22539.0,7.0,Y,No,13.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,16.0,12.0,6.0,14.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,No,Travel_Frequently,59920.0,,1160.0,2.0,Marketing,1.0,1137.0,4.0,Male,54.0,,2.0,,4.0,,4968.0,,1.0,Y,,11.0,3.0,4.0,,,5.0,,3.0,5.0,2.0,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yes,No,Travel_Rarely,1075.0,Human Resources,3.0,,,1.0,910.0,4.0,Male,57.0,3.0,1.0,Human Resources,2.0,Divorced,2277.0,22650.0,3.0,Y,Yes,11.0,,3.0,,,7.0,4.0,4.0,4.0,,0.0,3.0
,No,Travel_Rarely,799.0,Research & Development,,3.0,Technical Degree,1.0,623.0,,Female,59.0,3.0,3.0,Manufacturing Director,4.0,,7491.0,23848.0,,Y,No,17.0,3.0,4.0,80.0,0.0,12.0,,4.0,6.0,5.0,1.0,
54.0,No,Travel_Rarely,548.0,Research & Development,8.0,,Life Sciences,1.0,578.0,3.0,Female,42.0,,2.0,Laboratory Technician,3.0,Single,3780.0,23428.0,,Y,No,11.0,3.0,3.0,80.0,0.0,,,,1.0,0.0,0.0,0.0
Yes ,Yes,Travel_Rarely,129.0,Research & Development,,3.0,Technical Degree,1.0,,1.0,Male,84.0,3.0,1.0,Laboratory Technician,1.0,Single,2973.0,13008.0,1.0,Y,,19.0,3.0,2.0,80.0,0.0,1.0,2.0,3.0,,,0.0,0.0
,No,Travel_Rarely,670.0,Research & Development,26.0,1.0,Life Sciences,1.0,16.0,,,31.0,3.0,1.0,Research Scientist,3.0,Divorced,2911.0,15170.0,1.0,Y,No,17.0,3.0,4.0,80.0,1.0,,1.0,2.0,5.0,2.0,4.0,3.0
yes,Yes,Travel_Rarely,693.0,Sales,,,Life Sciences,1.0,720.0,,Female,65.0,3.0,,Sales Executive,,Single,4577.0,24785.0,9.0,Y,No,14.0,3.0,,80.0,0.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0
50.0,No,Travel_Frequently,1421.0,Research & Development,2.0,3.0,Medical,,1215.0,4.0,,30.0,3.0,4.0,Manager,,Married,17856.0,9490.0,2.0,Y,No,22.0,4.0,3.0,80.0,1.0,32.0,3.0,3.0,2.0,2.0,2.0,2.0
yes,Yes,Travel_Rarely,790.0,,24.0,4.0,Medical,1.0,,1.0,,40.0,2.0,2.0,Sales Executive,2.0,Single,4599.0,7815.0,0.0,Y,Yes,23.0,,,80.0,,16.0,,4.0,,9.0,,10.0
,No,,1009.0,Research & Development,2.0,,Life Sciences,1.0,575.0,1.0,Male,51.0,3.0,4.0,Research Director,3.0,Married,17861.0,,6.0,Y,No,13.0,3.0,3.0,80.0,0.0,,2.0,1.0,3.0,,0.0,1.0
22.0,No,Travel_Rarely,604.0,Research & Development,,,,1.0,,1.0,Male,69.0,3.0,1.0,Research Scientist,3.0,Married,2773.0,12145.0,,Y,No,20.0,4.0,4.0,80.0,0.0,,,,2.0,2.0,2.0,2.0
20.0,Yes,Travel_Frequently,769.0,,9.0,3.0,Marketing,1.0,1077.0,4.0,Female,54.0,3.0,1.0,Sales Representative,,Single,2323.0,17205.0,1.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0
50.0,No,Travel_Rarely,,Research & Development,28.0,1.0,Medical,1.0,716.0,4.0,Male,74.0,4.0,1.0,,3.0,Married,3221.0,3297.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,3.0,20.0,3.0,,20.0,8.0,3.0,8.0
41.0,No,Travel_Rarely,918.0,Sales,6.0,3.0,Marketing,1.0,,4.0,,35.0,3.0,3.0,Sales Executive,3.0,Single,9241.0,15869.0,1.0,Y,No,12.0,3.0,2.0,80.0,0.0,10.0,3.0,3.0,10.0,8.0,8.0,
,No,Travel_Rarely,586.0,Sales,1.0,,,,855.0,1.0,Male,48.0,,,,,Divorced,,21816.0,1.0,,No,,4.0,1.0,80.0,1.0,9.0,5.0,3.0,9.0,8.0,0.0,8.0
yes,No,Non-Travel,1398.0USD,Sales,22.0USD,4.0,Other,1.0,567.0,3.0,Female,69.0,3.0,3.0,,1.0,Married,8412.0,2890.0,0.0,Y,No,11.0,,3.0,,,10.0,3.0,3.0,,8.0,7.0,8.0
40.0,No,Travel_Rarely,,Sales,2.0,2.0,Marketing,1.0,,,Female,46.0,3.0,,Sales Executive,2.0,Divorced,5715.0,22553.0,7.0,Y,No,12.0,3.0,3.0,80.0,,8.0,5.0,3.0,5.0,4.0,,
31.0,No,,480.0,,7.0,2.0,,,524.0,,Female,,3.0,2.0,Manufacturing Director,1.0,Married,4306.0,4156.0,1.0,Y,No,12.0,,2.0,80.0,1.0,,5.0,,13.0,,3.0,
43.0,Yes,Travel_Rarely,1372.0,Sales,,3.0,Marketing,,1188.0,,Female,,1.0,2.0,Sales Executive,3.0,Single,,9489.0,8.0,Y,No,,3.0,2.0,80.0,0.0,7.0,2.0,2.0,4.0,3.0,1.0,3.0
